year,county_fips,unemployment_rate
2024,01047,5.7
2024,01047,5.7
2024,01047,5.6
2024,01047,5.4
2024,01047,5.9
2024,01047,6.1
2024,01047,6
2024,01047,4.1
2024,01047,4.1
2024,01047,5
2024,01047,5.9
2024,01047,6
2023,01047,5.1
2023,01047,5
2023,01047,5.4
2023,01047,5
2023,01047,5.6
2023,01047,5.6
2023,01047,5.3
2023,01047,3.9
2023,01047,3.2
2023,01047,4.2
2023,01047,5
2023,01047,4.9
2022,01047,3.9
2022,01047,3.8
2022,01047,4.3
2022,01047,4.8
2022,01047,5.5
2022,01047,5.5
2022,01047,4.7
2022,01047,3.6
2022,01047,3.7
2022,01047,4.1
2022,01047,5
2022,01047,5.4
2024,01049,2.8
2024,01049,2.8
2024,01049,2.8
2024,01049,2.7
2024,01049,3.1
2024,01049,3.1
2024,01049,2.8
2024,01049,2.2
2024,01049,2.1
2024,01049,2.5
2024,01049,2.8
2024,01049,2.8
2023,01049,2.1
2023,01049,2.1
2023,01049,2.1
2023,01049,2.3
2023,01049,2.5
2023,01049,2.3
2023,01049,2.4
2023,01049,1.8
2023,01049,1.6
2023,01049,2
2023,01049,2.3
2023,01049,2.4
2022,01049,1.8
2022,01049,2
2022,01049,2
2022,01049,2.1
2022,01049,2.5
2022,01049,2.5
2022,01049,2.8
2022,01049,1.9
2022,01049,1.8
2022,01049,2.1
2022,01049,2.4
2022,01049,2.6
2024,01051,2.7
2024,01051,2.8
2024,01051,2.7
2024,01051,2.7
2024,01051,2.9
2024,01051,2.9
2024,01051,2.7
2024,01051,2
2024,01051,1.9
2024,01051,2.3
2024,01051,2.6
2024,01051,2.6
2023,01051,2
2023,01051,2
2023,01051,2.1
2023,01051,2.2
2023,01051,2.3
2023,01051,2.2
2023,01051,2.3
2023,01051,1.7
2023,01051,1.5
2023,01051,1.8
2023,01051,2.1
2023,01051,2.2
2022,01051,1.7
2022,01051,1.8
2022,01051,1.9
2022,01051,2
2022,01051,2.4
2022,01051,2.4
2022,01051,2.5
2022,01051,1.7
2022,01051,1.6
2022,01051,2
2022,01051,2.3
2022,01051,2.4
2024,01053,4.1
2024,01053,4.3
2024,01053,4.1
2024,01053,4.1
2024,01053,4.7
2024,01053,4.6
2024,01053,4.5
2024,01053,3.2
2024,01053,3.2
2024,01053,3.9
2024,01053,4.2
2024,01053,4.7
2023,01053,3.6
2023,01053,3.3
2023,01053,3.7
2023,01053,3.5
2023,01053,3.6
2023,01053,3.5
2023,01053,3.6
2023,01053,2.8
2023,01053,2.5
2023,01053,3.1
2023,01053,3.7
2023,01053,3.9
2022,01053,3.2
2022,01053,3.2
2022,01053,3.4
2022,01053,3.4
2022,01053,3.7
2022,01053,3.7
2022,01053,3.8
2022,01053,2.6
2022,01053,2.6
2022,01053,3
2022,01053,3.6
2022,01053,3.7
2024,01055,3.5
2024,01055,3.5
2024,01055,3.4
2024,01055,3.3
2024,01055,3.8
2024,01055,3.6
2024,01055,3.4
2024,01055,2.5
2024,01055,2.5
2024,01055,3
2024,01055,3.4
2024,01055,3.4
2023,01055,2.6
2023,01055,2.6
2023,01055,2.7
2023,01055,2.7
2023,01055,2.8
2023,01055,2.7
2023,01055,2.8
2023,01055,2.1
2023,01055,1.8
2023,01055,2.3
2023,01055,2.7
2023,01055,2.7
2022,01055,2.1
2022,01055,2.3
2022,01055,2.5
2022,01055,2.6
2022,01055,3
2022,01055,3
2022,01055,3.3
2022,01055,2.4
2022,01055,2.3
2022,01055,2.7
2022,01055,3.2
2022,01055,3.4
2024,01057,3.1
2024,01057,3.3
2024,01057,3.4
2024,01057,3.4
2024,01057,3.8
2024,01057,3.9
2024,01057,3.4
2024,01057,2.8
2024,01057,2.8
2024,01057,3.3
2024,01057,3.8
2024,01057,4
2023,01057,3.4
2023,01057,3.1
2023,01057,3.4
2023,01057,3.2
2023,01057,3.5
2023,01057,2.5
2023,01057,2.5
2023,01057,2
2023,01057,1.7
2023,01057,2.1
2023,01057,2.4
2023,01057,2.8
2022,01057,2.1
2022,01057,2.2
2022,01057,2.3
2022,01057,2.5
2022,01057,2.8
2022,01057,3.1
2022,01057,3.1
2022,01057,2.3
2022,01057,2.2
2022,01057,2.3
2022,01057,2.7
2022,01057,3.2
2024,01059,3
2024,01059,3.3
2024,01059,3
2024,01059,3
2024,01059,3.5
2024,01059,3.3
2024,01059,3.1
2024,01059,2.3
2024,01059,2.1
2024,01059,2.6
2024,01059,3.1
2024,01059,2.9
2023,01059,2.4
2023,01059,2.2
2023,01059,2.8
2023,01059,2.7
2023,01059,3
2023,01059,2.9
2023,01059,3
2023,01059,2.4
2023,01059,2.2
2023,01059,2.3
2023,01059,2.6
2023,01059,2.8
2022,01059,2.3
2022,01059,2.2
2022,01059,2.1
2022,01059,2.1
2022,01059,2.6
2022,01059,2.6
2022,01059,2.9
2022,01059,1.9
2022,01059,1.8
2022,01059,2.1
2022,01059,2.6
2022,01059,2.8
2024,01061,2.9
2024,01061,3.1
2024,01061,3
2024,01061,2.9
2024,01061,3.3
2024,01061,3.3
2024,01061,3.1
2024,01061,2.3
2024,01061,2.2
2024,01061,2.8
2024,01061,3
2024,01061,2.9
2023,01061,2.5
2023,01061,2.3
2023,01061,2.3
2023,01061,2.6
2023,01061,2.7
2023,01061,2.6
2023,01061,2.6
2023,01061,1.9
2023,01061,1.7
2023,01061,2
2023,01061,2.3
2023,01061,2.4
2022,01061,1.7
2022,01061,1.9
2022,01061,2.1
2022,01061,2.3
2022,01061,2.5
2022,01061,2.5
2022,01061,2.8
2022,01061,2
2022,01061,1.8
2022,01061,2.2
2022,01061,2.6
2022,01061,2.8
2024,01063,7.7
2024,01063,7.4
2024,01063,7
2024,01063,7.4
2024,01063,7.3
2024,01063,7
2024,01063,5.9
2024,01063,4.7
2024,01063,4.8
2024,01063,6.4
2024,01063,7.1
2024,01063,8
2023,01063,6.9
2023,01063,5.2
2023,01063,5.1
2023,01063,4.8
2023,01063,5.4
2023,01063,5.3
2023,01063,5.8
2023,01063,4.4
2023,01063,4.6
2023,01063,5.6
2023,01063,6.6
2023,01063,5.2
2022,01063,3.6
2022,01063,3.7
2022,01063,4.8
2022,01063,4.9
