year,fips,state_fips,county_fips,total_workers,drove_alone,carpooled,public_transit,bus,subway,bicycle,walked,worked_from_home,total_households_vehicles,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles
2014,35045,35,045,50029,41657,4767,275,246,29,327,1036,1295,40378,3234,10926,16225,5304,4689
2014,35049,35,049,68665,54176,5782,938,813,0,450,1630,5111,60565,2466,22175,22195,10191,3538
2014,36001,36,001,153557,118805,10624,9486,9024,0,640,9274,3386,124716,15975,48659,43664,12401,4017
2014,36005,36,005,558828,127647,21027,338819,89375,2717,1318,41274,19571,492481,286638,144704,53849,5713,1577
2014,36007,36,007,85852,69097,6710,3190,3066,0,366,2753,3026,78810,10124,29322,28078,8212,3074
2014,36027,36,027,142907,105767,11969,8501,3170,0,323,6820,8307,104190,9152,33701,38336,16213,6788
2014,36029,36,029,433818,351611,35749,14867,13902,271,1796,13643,12822,383657,50984,150481,129849,37976,14367
2014,36045,36,045,53939,40699,5988,303,277,0,265,3524,2576,43516,3519,16457,17583,4521,1436
2014,36047,36,047,1175571,217597,52020,731532,107237,3497,19439,99520,45677,942402,535358,314772,78250,11639,2383
2014,36055,36,055,357450,294229,24578,12215,11916,73,2530,9742,12382,298271,33267,117084,110085,28002,9833
2014,36059,36,059,662622,464863,43812,102617,19113,245,1815,18727,26140,440168,34021,120356,189374,65460,30957
2014,36061,36,061,878171,51605,14936,530244,65374,2071,16818,180711,54323,762228,588819,152476,17154,2662,1117
2014,36063,36,063,98434,86407,5311,909,827,0,223,1720,2605,86907,8883,33753,31252,9488,3531
2014,36065,36,065,101785,82950,8023,1662,1662,0,109,4072,4466,90583,10705,34087,33357,9213,3221
2014,36067,36,067,216807,170959,16969,8188,7985,36,999,9952,7950,185474,22777,70700,66807,19043,6147
2014,36071,36,071,172640,128825,17142,10654,7391,107,344,5337,8135,124587,11435,36938,49928,18833,7453
